model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
blstm,k5,r4,0,10,test,0.01370712733601298,-0.009930968284606934,0.019729634374380113
blstm,k5,r4,0,50,train,0.0041444992873828305,-0.09100222587585449,0.022228166264922994
blstm,k5,r4,0,50,test,0.0004900895517223613,-0.09458255767822266,0.021345926448702812
blstm,k5,r4,0,100,train,0.0038856606537090443,-0.0018671751022338867,0.020402878718940837
blstm,k5,r4,0,100,test,0.00272097650916181,-0.0020161867141723633,0.01958843171596527
blstm,k5,r4,0,200,train,0.002524973714578771,-0.0009446144104003906,0.02033298130373697
blstm,k5,r4,0,200,test,0.005694941129900766,-0.0010040998458862305,0.01982928570359945
blstm,k5,r4,0,250,train,0.005630805557662738,-0.05446898937225342,0.021414606957822234
blstm,k5,r4,0,250,test,0.00175612568625505,-0.05688118934631348,0.020936445519328117
blstm,k5,r4,0,500,train,0.003793567909791823,-0.020511507987976074,0.02072758927337221
blstm,k5,r4,0,500,test,-0.015542946262472768,-0.02149975299835205,0.02023881543427706
blstm,k5,r7,0,10,train,0.00039585978162202246,-0.039566874504089355,0.02067679147187032
blstm,k5,r7,0,10,test,-0.005796008874933145,-0.04552412033081055,0.02057100720703602
blstm,k5,r7,0,50,train,0.012166270912134104,-0.004272103309631348,0.01997958937365758
blstm,k5,r7,0,50,test,0.0006419301211110229,-0.0061817169189453125,0.01979554109275341
blstm,k5,r7,0,100,train,-0.000272500231283071,-0.08112192153930664,0.021526224028907325
blstm,k5,r7,0,100,test,-0.0002885308294056088,-0.07478570938110352,0.021151014044880866
blstm,k5,r7,0,200,train,-0.003058202810914054,-0.005722999572753906,0.020021107551213856
blstm,k5,r7,0,200,test,0.0014792101996277118,-0.007876276969909668,0.01981980726122856
blstm,k5,r7,0,250,train,-0.0010357867525502273,-0.05228626728057861,0.02094584804128956
blstm,k5,r7,0,250,test,-0.011009018682166971,-0.058809518814086914,0.02085893861949444
blstm,k5,r7,0,500,train,0.0007205566473808267,-0.004679322242736816,0.02000273220442437
blstm,k5,r7,0,500,test,0.006971814623176753,-0.0031300783157348633,0.01969362944364548
blstm,k5,r2,0,10,train,0.003149679988252824,-0.0011521577835083008,0.020031271502375603
blstm,k5,r2,0,10,test,-0.009540172294319721,-0.0018292665481567383,0.020444220677018166
blstm,k5,r2,0,50,train,0.009752895865596904,-0.0643455982208252,0.02130381655144064
blstm,k5,r2,0,50,test,0.0022739656917388756,-0.061113715171813965,0.02167815938591957
blstm,k5,r2,0,100,train,0.003508480749306153,-0.029024600982666016,0.020585498233374796
blstm,k5,r2,0,100,test,-0.011654748095575762,-0.029889464378356934,0.021020685136318207
blstm,k5,r2,0,200,train,0.003492595048770364,-0.000988006591796875,0.020018709521438624
blstm,k5,r2,0,200,test,0.007486726212379419,-0.0011420249938964844,0.020335471630096434
blstm,k5,r2,0,250,train,-0.00837371527234021,-0.03347289562225342,0.020670590318135312
blstm,k5,r2,0,250,test,0.004875473513265172,-0.031504034996032715,0.02098981589078903
