model,landscape,replicate,train_regime,cv_fold,test_data,pearson_r,r2,mse_loss,train_epochs
linear,gb1,r2,M0-M3,0,M1,0.436812781,-192.3028685,0.004378944,
linear,gb1,r2,M0-M3,0,M2,0.312085876,0.066019626,0.018929334,
linear,gb1,r2,M0-M3,0,M3,0.386021814,0.142410474,0.048533792,
linear,gb1,r2,M0-M3,0,M4,0.435700442,0.116654198,0.155269555,
linear,gb1,r2,M0-M4,0,train,0.439799558,0.193406879,0.126502486,26
linear,gb1,r2,M0-M4,0,M1,0.343332312,-792.0648389,0.017965518,
linear,gb1,r2,M0-M4,0,M2,0.271631437,-0.4197775,0.028775165,
linear,gb1,r2,M0-M4,0,M3,0.366903603,0.056839368,0.053602158,
linear,gb1,r2,M0-M4,0,M4,0.455193323,0.205746961,0.139618585,
linear,gb1,r3,M0-M1,0,train,0.00493401,-872.6404411,0.012891549,11
linear,gb1,r3,M0-M1,0,M1,0.141460594,-5503.162855,0.010009317,
linear,gb1,r3,M0-M1,0,M2,0.020971711,-4.646070174,0.024125051,
linear,gb1,r3,M0-M1,0,M3,-0.056431313,-0.396289341,0.111252509,
linear,gb1,r3,M0-M1,0,M4,-0.005306244,-0.214591316,0.211231605,
linear,gb1,r3,M0-M2,0,train,0.257164868,0.057495445,0.004005968,150
linear,gb1,r3,M0-M2,0,M1,0.072200134,-640.6908499,0.001166914,
linear,gb1,r3,M0-M2,0,M2,0.321757582,0.100093805,0.003845203,
linear,gb1,r3,M0-M2,0,M3,0.241327595,-0.011308779,0.07978496,
linear,gb1,r3,M0-M2,0,M4,0.202149719,-0.069358413,0.185985719,
linear,gb1,r3,M0-M3,0,train,0.38985171,0.151970636,0.050441377,52
linear,gb1,r3,M0-M3,0,M1,0.083888477,-2098.192037,0.00381738,
linear,gb1,r3,M0-M3,0,M2,0.389902975,-0.756794709,0.007506596,
linear,gb1,r3,M0-M3,0,M3,0.405779268,0.159092311,0.066395399,
linear,gb1,r3,M0-M3,0,M4,0.436384416,0.143899808,0.148890703,
linear,gb1,r3,M0-M4,0,train,0.440274665,0.193751795,0.126726609,23
linear,gb1,r3,M0-M4,0,M1,-0.121676298,-6689.343717,0.012166386,
linear,gb1,r3,M0-M4,0,M2,0.367038068,-2.67478432,0.015701959,
linear,gb1,r3,M0-M4,0,M3,0.394686657,0.131233855,0.069175089,
linear,gb1,r3,M0-M4,0,M4,0.448564211,0.200109452,0.13911365,
mlp,gb1,r0,M0-M1,0,train,0.243230142,-1.585582372,4.56E-05,11
mlp,gb1,r0,M0-M1,0,M1,-0.062117697,-6.974543177,3.77E-05,
mlp,gb1,r0,M0-M1,0,M2,0.018659813,-0.006957599,0.013801387,
mlp,gb1,r0,M0-M1,0,M3,0.052842129,-0.018544079,0.089098901,
mlp,gb1,r0,M0-M1,0,M4,-0.02012499,-0.044330927,0.201162578,
mlp,gb1,r0,M0-M2,0,train,0.912189779,0.826442356,0.000881718,36
mlp,gb1,r0,M0-M2,0,M1,0.630749509,-0.978845724,9.35E-06,
mlp,gb1,r0,M0-M2,0,M2,0.266430649,0.067217038,0.012784747,
mlp,gb1,r0,M0-M2,0,M3,0.31580607,0.071629733,0.081104475,
mlp,gb1,r0,M0-M2,0,M4,0.398672707,0.031860725,0.186463658,
mlp,gb1,r0,M0-M3,0,train,0.975215604,0.949829649,0.003648604,28
mlp,gb1,r0,M0-M3,0,M1,0.169133517,-7.97997697,4.24E-05,
mlp,gb1,r0,M0-M3,0,M2,0.9903495,0.978779284,0.000290852,
mlp,gb1,r0,M0-M3,0,M3,0.943909217,0.890830522,0.009523469,
