model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r3,2,F,0.9986960301797962,-0.5740481615066528,0.03144231019541621,
blstm,k0,r3,2,C,0.9990877830171347,0.7871177196502686,0.0042512507643550634,
blstm,k0,r3,2,E,0.9993301339179489,0.8080331087112427,0.0038463803939521313,
blstm,k0,r3,2,D,0.9990091486433619,0.9908390641212463,0.00018392972924630158,
blstm,k0,r3,3,train,0.9997617691633721,0.9995188117027283,9.739960660226643e-06,
blstm,k0,r3,3,G,0.9996621188635445,0.9076651334762573,0.0018885035533457994,
blstm,k0,r3,3,F,0.999075575396791,-0.4107704162597656,0.028903234750032425,
blstm,k0,r3,3,C,0.9986468730367833,0.8099476099014282,0.003921517345588654,
blstm,k0,r3,3,E,0.9992928192512721,0.9964910745620728,7.25780992070213e-05,
blstm,k0,r3,3,D,0.999513497802222,0.9009922742843628,0.002030778967309743,
blstm,k0,r3,4,train,0.9997498957452551,0.9993799328804016,1.3049739891357603e-05,
blstm,k0,r3,4,G,0.9997176877958933,0.846728503704071,0.00328932044794783,
blstm,k0,r3,4,F,0.9984730391896687,-0.12806415557861328,0.024251773953437805,
blstm,k0,r3,4,C,0.9995671632511312,0.9281083941459656,0.0015430963248945773,
blstm,k0,r3,4,E,0.9996977017969312,0.7782168984413147,0.0047456996981054544,
blstm,k0,r3,4,D,0.9997121475379203,0.2618297338485718,0.015809263801202178,
blstm,k0,r3,5,train,0.9994891393418757,0.9984951615333557,3.2418039154435974e-05,
blstm,k0,r3,5,G,0.9987621494810852,0.9461302757263184,0.0011527943424880505,
blstm,k0,r3,5,F,0.9992610183055969,0.7881795167922974,0.00458136887755245,
blstm,k0,r3,5,C,0.9994287411531878,0.9782510995864868,0.00047316925338236615,
blstm,k0,r3,5,E,0.9987513469694387,0.7661641240119934,0.005069872597232461,
blstm,k0,r3,5,D,0.9993193612197248,0.9542518854141235,0.0009846954053500667,
blstm,k0,r2,0,train,0.9998585962127847,0.9996388554573059,6.711166065542784e-06,
blstm,k0,r2,0,G,0.9997332312784601,0.9949690103530884,9.311117901233956e-05,
blstm,k0,r2,0,F,0.9996496574110025,0.5959533452987671,0.007487242808565497,
blstm,k0,r2,0,C,0.9992545263309771,0.8848029971122742,0.002126643172232434,
blstm,k0,r2,0,E,0.9997031305350927,-0.34518730640411377,0.024937384761869907,
blstm,k0,r2,0,D,0.999076326337907,0.9977850317955017,4.078173242305638e-05,
blstm,k0,r2,1,train,0.9998069278847355,0.9996032118797302,7.117269660739112e-06,
blstm,k0,r2,1,G,0.9991924839067816,0.3904467225074768,0.010878839064389467,
blstm,k0,r2,1,F,0.9990428957275246,0.9877363443374634,0.00022020044343662448,
blstm,k0,r2,1,C,0.9987857270332101,0.5708774328231812,0.007631138316355646,
blstm,k0,r2,1,E,0.9988308580040368,0.9882526397705078,0.00020628968195524067,
blstm,k0,r2,1,D,0.9994892833995874,0.22028398513793945,0.013914615847170353,
blstm,k0,r2,2,train,0.9993406585774633,0.9986375570297241,2.3892237550171558e-05,
blstm,k0,r2,2,G,0.9989291270080594,-0.8128688335418701,0.03147015022113919,
blstm,k0,r2,2,F,0.9987791579837805,0.9218723177909851,0.0013548119168262929,
blstm,k0,r2,2,C,0.9987783738145295,-1.4118163585662842,0.041858773678541183,
blstm,k0,r2,2,E,0.9989223639826461,-0.021819114685058594,0.017711541149765253,
blstm,k0,r2,2,D,0.9987246272136872,-1.1270568370819092,0.03692685440182686,
blstm,k0,r2,3,train,0.9998369415114389,0.9995961785316467,7.40091752504668e-06,
blstm,k0,r2,3,G,0.998910182143441,-1.3966631889343262,0.044479952193796635,
blstm,k0,r2,3,F,0.9991633136326918,0.9947333335876465,9.741987014422193e-05,
blstm,k0,r2,3,C,0.9987392235682031,-2.5941531658172607,0.06670220009982586,
blstm,k0,r2,3,E,0.9987563263354373,-3.947427749633789,0.09181652590632439,
blstm,k0,r2,3,D,0.9991009764301595,-3.643589496612549,0.08616998791694641,
blstm,k0,r2,4,train,0.9997539170739261,0.9993160367012024,1.224408424604917e-05,
blstm,k0,r2,4,G,0.9897760732276235,-0.9174425601959229,0.034124916419386864,
blstm,k0,r2,4,F,0.9968308582344518,0.9414325952529907,0.001035799243254587,
blstm,k0,r2,4,C,0.9855631368503832,-0.7556694746017456,0.03125640470534563,
blstm,k0,r2,4,E,0.9843729450340408,-4.75441312789917,0.10233044624328613,
blstm,k0,r2,4,D,0.9872983306842786,-2.9945321083068848,0.0710616447031498,
blstm,k0,r2,5,train,0.9997347208925819,0.9993736743927002,1.0804468161040859e-05,
blstm,k0,r2,5,G,0.9995429314619345,0.2905682921409607,0.012065312126651406,
blstm,k0,r2,5,F,0.9996067997718212,0.6295375823974609,0.006314394646324217,
blstm,k0,r2,5,C,0.9994065166589104,0.6960103511810303,0.005181746440939605,
blstm,k0,r2,5,E,0.999381860847455,-0.18765270709991455,0.02018096810206771,
blstm,k0,r2,5,D,0.9996039082518244,0.6074445247650146,0.00667800719384104,
blstm,k1,r6,0,train,0.9977858242626019,0.9951703548431396,8.447751679341309e-05,
blstm,k1,r6,0,G,0.7055450573121045,-0.6972371339797974,0.030905404593795538,
blstm,k1,r6,0,F,0.1446635031722494,-2.1443655490875244,0.06652357429265976,
blstm,k1,r6,0,C,0.29576412966423404,-1.8782196044921875,0.059509510174393654,
blstm,k1,r6,0,E,0.4952449721106635,-1.2030134201049805,0.029883403796702623,
blstm,k1,r6,0,D,0.1709953806647388,-1.7209367752075195,0.08438620250672102,
blstm,k1,r6,1,train,0.9983786375229744,0.9966728687286377,6.977720113354735e-05,
blstm,k1,r6,1,G,0.7776049463051535,0.45580464601516724,0.010809530620463192,
blstm,k1,r6,1,F,0.5606155250181096,0.04370981454849243,0.021424662321805954,
blstm,k1,r6,1,C,0.6602813536593384,0.2032061219215393,0.018010321306064725,
