model,landscape,replicate,cv_fold,data_split,pearson_r,r2,mse,train_epochs
mlp,k4,r4,0,train,0.6228181792732157,0.38526087436765377,0.011479004041144722,28.0
mlp,k4,r4,0,test,0.3391981807860851,0.05992771008354625,0.017534630745649336,
mlp,k4,r0,0,train,0.5876433582287074,0.34430386805590607,0.012013363847999196,25.0
mlp,k4,r0,0,test,0.3231342622463721,0.06229092250654156,0.017445684969425203,
mlp,k4,r7,0,train,0.6223576976112654,0.3872948224363705,0.01146412062409677,24.0
mlp,k4,r7,0,test,0.3632632410536305,0.08170062571028269,0.01694892905652523,
mlp,k5,r2,0,train,0.06105198062479125,0.0013856987678493304,0.019975828987203147,10.0
mlp,k5,r2,0,test,-0.007020747002995451,-0.009052228529502715,0.02060745395720005,
mlp,k5,r4,0,train,0.05473514453818903,0.0020430662254342646,0.020331875666191702,10.0
mlp,k5,r4,0,test,-0.005675120848259795,-0.007185811584841328,0.019684546440839768,
mlp,k5,r0,0,train,0.05628977012221131,-0.0010701933170278455,0.019387135380192808,11.0
mlp,k5,r0,0,test,0.028288431055244617,-0.007297919122231322,0.019177843630313874,
mlp,k5,r7,0,train,0.04870342371225332,-0.003545366347435408,0.019975231862381884,11.0
mlp,k5,r7,0,test,-0.006151424374075472,-0.017455932533898544,0.02001676447689533,
rf,k0,r2,0,train,0.9996325386781856,0.9992138983949371,1.6843681354306568e-05,
rf,k0,r2,0,test,0.9972065636507745,0.9941437529348577,0.0001253774304046501,
rf,k0,r4,0,train,0.99944229870747,0.9987971262718747,2.5007639570025646e-05,
rf,k0,r4,0,test,0.9958001341453493,0.9911990540995161,0.00018398086436402047,
rf,k0,r0,0,train,0.9997327603297476,0.9994474093016465,1.2386038248501354e-05,
rf,k0,r0,0,test,0.9980312732325797,0.9959825449667442,9.24958068861762e-05,
rf,k0,r7,0,train,0.9997141384214489,0.9994129153829032,1.3416430556354265e-05,
rf,k0,r7,0,test,0.9978232889667374,0.9955994905087867,9.887088321599634e-05,
rf,k1,r2,0,train,0.9964154188545296,0.9918168419587722,0.00017304617540236255,
rf,k1,r2,0,test,0.9714460497670503,0.9404256910795291,0.0012572370906766802,
rf,k1,r4,0,train,0.998511554396433,0.996460145335175,8.103377209124808e-05,
rf,k1,r4,0,test,0.9880691548441829,0.9737567297790205,0.0005982113871092025,
rf,k1,r0,0,train,0.9978286778606349,0.9946673037862093,0.00010621148921185477,
rf,k1,r0,0,test,0.9823705426748411,0.9611917544015264,0.000786095135656842,
rf,k1,r7,0,train,0.996958178396095,0.9924125179441691,0.00018453061368790645,
rf,k1,r7,0,test,0.9746421673528488,0.9446570081814203,0.0013307522475649865,
rf,k2,r2,0,train,0.9934750342022813,0.9746430426841419,0.00046227539298424053,
rf,k2,r2,0,test,0.9300880896161271,0.8207988726029699,0.00324345842106847,
rf,k2,r4,0,train,0.9964792607707754,0.9903587500975636,0.00019457710503585212,
rf,k2,r4,0,test,0.9698776447505649,0.9304127935143317,0.0013810512195048662,
rf,k2,r0,0,train,0.9947416447273599,0.9799892532130977,0.00043798627128409064,
rf,k2,r0,0,test,0.9467624236802545,0.8586071551431645,0.0030717476981490604,
rf,k2,r7,0,train,0.9929865532120059,0.9700581518494621,0.0005962090833349439,
rf,k2,r7,0,test,0.9168455393420587,0.7842069032180723,0.0043180495386886675,
rf,k3,r2,0,train,0.9930931424134022,0.9621359234609742,0.0007627678896689861,
rf,k3,r2,0,test,0.8993701975170774,0.7236781011078708,0.005426892678019098,
rf,k3,r4,0,train,0.9935774853454505,0.9661386755525357,0.0006745136660966151,
rf,k3,r4,0,test,0.9108047453421351,0.7510787666994819,0.004828974320580242,
rf,k3,r0,0,train,0.9910990520935694,0.9635799605014144,0.0006814787627802997,
rf,k3,r0,0,test,0.8886561740587864,0.7374900009286753,0.005001842716019359,
rf,k3,r7,0,train,0.9889248371049868,0.9596061011952346,0.0008390933454368978,
rf,k3,r7,0,test,0.8627752679116504,0.707622056966619,0.006079051643703461,
rf,k4,r2,0,train,0.9903653393961707,0.9206209682193737,0.0014875204271994353,
rf,k4,r2,0,test,0.7250024743483549,0.41853699050326276,0.010866134154695683,
rf,k4,r4,0,train,0.989850086388008,0.9162575314177743,0.0015637008266581676,
rf,k4,r4,0,test,0.69338052671261,0.3843565722163482,0.011457355791943177,
rf,k4,r0,0,train,0.9901049314756528,0.9124644881373665,0.0016035460808942132,
rf,k4,r0,0,test,0.670248697575067,0.3547161899572835,0.011985594290163186,
rf,k4,r7,0,train,0.990754545814156,0.9118298469319603,0.0016523897079497992,
rf,k4,r7,0,test,0.6743486635537422,0.35371120128811206,0.012009720501546004,
rf,k5,r2,0,train,0.03301451863898403,0.00015028399655692137,0.01999042611752675,
rf,k5,r2,0,test,0.014457913272668581,5.3782693223314304e-05,0.020583642181008183,
rf,k5,r4,0,train,0.028082475941715708,0.00011283554722407718,0.02028297463007596,
rf,k5,r4,0,test,-0.012415376569050143,-5.731269477138312e-05,0.019478952450029674,
rf,k5,r0,0,train,0.022569025063980685,7.057881520433629e-05,0.01936474922864663,
rf,k5,r0,0,test,0.0039468167451680546,8.719567407000639e-06,0.01904781324978181,
rf,k5,r7,0,train,0.03343129579049509,0.00015837414766484148,0.019911499766388924,
rf,k5,r7,0,test,-0.00449021447669402,-0.00019277353887869886,0.019725568336652306,
transformer,k0,r2,0,train,0.9972201565182839,0.9938441114760808,0.0001316751456071966,12.0
transformer,k0,r2,0,test,0.9971935686335897,0.9938140083560181,0.00013260809355415405,
transformer,k0,r4,0,train,0.9985341868082569,0.9969584793535679,6.348484384943731e-05,19.0
