model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k2,r5,3,C,-0.01027446260752879,-0.2211751937866211,0.026144845876842737,
blstm,k2,r5,3,E,0.08886050353053032,-0.04097270965576172,0.02112439787015319,
blstm,k2,r5,3,D,0.007856140008922985,-0.11203718185424805,0.022218619007617235,
blstm,k2,r5,4,train,0.2465423060139627,0.028053879737854004,0.01980625046417117,
blstm,k2,r5,4,G,0.14747154820699393,-0.022452831268310547,0.021577119827270508,
blstm,k2,r5,4,F,0.03624775131207025,-0.07895934581756592,0.021866674534976482,
blstm,k2,r5,4,C,-0.052247146530229716,-0.10240650177001953,0.024462481029331684,
blstm,k2,r5,4,E,0.02731593626743134,-0.4127840995788574,0.028330974280834198,
blstm,k2,r5,4,D,-0.0427200131644474,-0.11432182788848877,0.022531352937221527,
blstm,k2,r5,5,train,0.28040096858545366,0.07593506574630737,0.017420040909200907,
blstm,k2,r5,5,G,-0.09697162381721958,-0.42469191551208496,0.030772030353546143,
blstm,k2,r5,5,F,-0.06640679356872453,-0.5865771770477295,0.03612005338072777,
blstm,k2,r5,5,C,0.03002025189487291,-0.932703971862793,0.035581594333052635,
blstm,k2,r5,5,E,0.018353582300086935,-0.5171076059341431,0.032682402059435844,
blstm,k2,r5,5,D,0.007395234344827362,-0.3723956346511841,0.029557619243860245,
blstm,k2,r4,0,train,0.5289132140978785,0.2753913998603821,0.01166255446150899,
blstm,k2,r4,0,G,-0.163614465596855,-0.45359063148498535,0.03407865110784769,
blstm,k2,r4,0,F,0.18895103631553611,-0.13570654392242432,0.020649321377277374,
blstm,k2,r4,0,C,-0.0005996370123262373,-0.7241789102554321,0.033124446868896484,
blstm,k2,r4,0,E,0.03871313962572015,-0.286879301071167,0.027050353586673737,
blstm,k2,r4,0,D,-0.06353614596911461,-0.564041256904602,0.028068673331290483,
blstm,k2,r4,1,train,0.37723691210146937,0.059565961360931396,0.01908479630947113,
blstm,k2,r4,1,G,0.19687200912475594,-0.5777890682220459,0.02930375561118126,
blstm,k2,r4,1,F,0.22920196333026488,-0.14578640460968018,0.023762363009154797,
blstm,k2,r4,1,C,0.2559247282965508,-0.11372065544128418,0.02233485458418727,
blstm,k2,r4,1,E,0.20632231449356242,-0.24986445903778076,0.025555190164595842,
blstm,k2,r4,1,D,0.14208451027171787,-0.37575268745422363,0.029839232098311186,
blstm,k2,r4,2,train,0.38417296369552734,0.13577020168304443,0.017285646172240376,
blstm,k2,r4,2,G,0.26487733493773513,0.04038286209106445,0.017342692241072655,
blstm,k2,r4,2,F,0.22870903680445664,0.04130136966705322,0.01846333732828498,
blstm,k2,r4,2,C,0.12316900106327999,-0.04319751262664795,0.021744526457041502,
blstm,k2,r4,2,E,0.24949286827166228,0.03485918045043945,0.020842370111495256,
blstm,k2,r4,2,D,0.18921440171099624,0.019100844860076904,0.020783004816621542,
blstm,k2,r4,3,train,0.42098307027022064,0.17514854669570923,0.015485485550016165,
blstm,k2,r4,3,G,0.1868750031427522,-0.07370221614837646,0.02211288083344698,
blstm,k2,r4,3,F,0.20657436991098121,-0.14121031761169434,0.0254218396730721,
blstm,k2,r4,3,C,0.1594464545724531,-0.030033469200134277,0.018743040040135384,
